學制別,學年度,學期,開課單位,課程編號,科目名稱,上課日,上課時間,上課地點,選別,學分,教師背景,教師職稱,授課教師,授課語言
研究所,112,1,資管碩一,D0F0333541,金融數據分析與智慧交易,Monday 星期一,"D5,D6,D7",SF130,選修,3,專任,助理教授,邱嘉洲,中文
研究所,112,1,資管碩一,G745032133,敏捷式軟體開發,Monday 星期一,"E1,E2,E3",LW210,選修,3,專任,助理教授,吳濟聰,中文
研究所,112,1,資管碩一,G745034637,醫療健康大數據分析與應用,Friday 星期五,"E1,E2,E3",LW210,選修,3,專任,教授,呂奇傑,中文
研究所,112,1,資管碩一,G746107939,高等資料庫管理,Friday 星期五,"D2,D3,D4",LW210,必修,3,專任,副教授,蔡幸蓁,中英文
研究所,112,1,資管碩一,G746109290,電子商務總論,Thursday 星期四,"D2,D3,D4",LW210,必修,3,專任,教授,廖建翔,中英文
研究所,112,1,資管碩一,G746110849,知識管理,Monday 星期一,"D5,D6,D7",SF339,選修,3,專任,校聘助理教授級專案教學人員,林雅文,中文
研究所,112,1,資管碩一,G746113027,機器學習,Thursday 星期四,"D5,D6,D7",LW210,必修,3,專任,教授,呂奇傑,中英文
研究所,112,1,資管碩一,G746116910,高等資訊管理,Monday 星期一,"D2,D3,D4",LW210,必修,3,專任,助理教授,林湘霖,中英文
研究所,112,1,資管碩一,G746123666,網路行銷專題,Friday 星期五,"D5,D6,D7",LW210,必修,3,專任,副教授,張銀益,中文
研究所,112,1,資管碩一,G746124103,決策分析,Thursday 星期四,"E1,E2,E3",LW210,選修,3,專任,助理教授,林湘霖,中英文
研究所,112,1,資管碩一,G746132135,人工智慧產業實務,Wednesday 星期三,"D2,D3,D4",LW210,選修,3,專任,教授,黃曜輝,中文
研究所,112,1,資管碩一,G746133034,物聯網概論與應用,Tuesday 星期二,"D5,D6,D7",LW210,必修,3,專任,校聘助理教授級專案教學人員,林青峰,中英文
研究所,112,1,資管碩二,G746216654,資訊管理講座,Tuesday 星期二,"D3,D4",LW210,必修,1,專任,教授,董惟鳳,中文
研究所,111,2,資管碩一,D0F0333540,金融程式應用,Thursday 星期四,"D5,D6,D7",SF339,選修,3,專任,校聘助理教授級專案教學人員,胡聚男,中文
研究所,111,2,資管碩一,G745032134,深度學習導論與應用,Thursday 星期四,"E1,E2,E3",LW210,選修,3,專任,教授,黃曜輝,中文
研究所,111,2,資管碩一,G745033856,使用者經驗設計,Wednesday 星期三,"E1,E2,E3",LW210,選修,3,專任,助理教授,吳濟聰,中文
研究所,111,2,資管碩一,G746100292,企業倫理,Wednesday 星期三,"D3,D4",LM510,必修,2,專任,副教授,聶達安,中文
研究所,111,2,資管碩一,G746101016,人工智慧,Tuesday 星期二,"D5,D6,D7",LW210,必修,3,專任,教授,呂奇傑,中英文
研究所,111,2,資管碩一,G746101799,研究方法,Friday 星期五,"D2,D3,D4",LW210,必修,3,專任,教授,廖建翔,中英文
研究所,111,2,資管碩一,G746110849,知識管理,Monday 星期一,"D5,D6,D7",SF339,選修,3,專任,校聘助理教授級專案教學人員,林雅文,中文
研究所,111,2,資管碩一,G746123668,電子採購與物流專題,Friday 星期五,"D5,D6",LW210,必修,2,專任,副教授,張銀益,中文
研究所,111,2,資管碩一,G746131354,行動式雲端服務應用設計,Thursday 星期四,"D2,D3,D4",LW210,選修,3,專任,副教授,劉富容,中文
研究所,111,2,資管碩一,G746135555,金融科技與金融行銷,Tuesday 星期二,"D2,D3,D4",LW210,必修,3,專任,教授,許嘉霖,中英文
